Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	3212	NZD/USD@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	NVA Curncy	NE	12:00	16:00	30	Vwap	20	19:05	21:05	19:05	21:05	0	1.7	-1		0.8	N	N	Y	NZD	GLOBEX		Y	Y	Y	Y	Y		Y	1.4	1.4	0.8	
N	3223	Bitcoin@CBF	[111111111111]	1	0.03%	15:30	15:15	8	15:00	XBTA Curncy		12:00	15:00	10	Vwap	10	19:05	21:05	19:05	21:05	0	0				N	N	N				N	N	N	N	N	N					
N	3224	Bitcoin@CME	[001001001001]	1	0.03%	17:05	16:00	8	15:00	BTCA Curncy		12:00	15:00	10	Vwap	10	19:05	21:05	19:05	21:05	0	0				N	N	N				N	N	N	N	N	N					
N	3301	Eurodollar 3Mon@CME	[001001001001]	1	0.01%	17:05	16:00	8	14:00	EDA Comdty	ED	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						GE	GLOBEX		Y	Y	N	N	N		N				
N	3302	Sterling 90 day@LIF	[001001001001]	1	0.01%	07:30	18:00	8	16:15	L A Comdty	FSS	12:00		20	Vwap	10	07:35	09:35	07:35	09:35	0	0	0						L	ICEEU		Y	Y	N	N	N		N				
N	3303	Euribor 3Mon@LIF	[001001001001]	1	0.01%	01:00	21:00	8	16:15	ERA Comdty	FEI	12:00		20	Vwap	10	01:05	03:05	01:05	03:05	0	0	0						I	ICEEU		Y	Y	N	N	N		N				
N	3304	Canadian Bank Bill@MSE	[001001001001]	1	0.01%	06:00	16:30	8	15:00	BAA Comdty	BAX	12:00	15:00	20	Vwap	10	06:05	08:05	06:05	08:05	0	0	0						BAX	CDE		Y	Y	N	N	N		N				
N	3305	Australian Bank Bill@SFE	[001001001001]	1	0.01%	16:58	16:30	8		IRA Comdty	YBA	12:00		20	Vwap	10	10:30	12:30	10:30	12:30	0	0	0						IR	SNFE		Y	Y	N	N	N		N				
N	3306	Swedish IMM@PMI	[001001001001]	1	0.01%	07:00	17:30	8		RAA Comdty		12:00		20	Vwap	10	07:05	09:05	07:05	09:05	0	0	0									N	N	N	N	N		N				
N	3308	Euroswiss 3 Mon@LIF	[001001001001]	1	0.01%	07:30	18:00	8	16:15	ESA Comdty	FES	12:00		20	Vwap	10	07:35	09:35	07:35	09:35	0	0	0						S	ICEEU		Y	Y	N	N	N		N				
